FIPS,Geographic Identifier,Area Name,Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,File identification,Logical Record Number,State (FIPS Code),County of current residence,Census Tract,Block Group,Total Population,Area Total:,Area Total: Area (Land),Area Total: Area (Water),Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Average Household Size,Median Household Income (In 2019 Inflation Adjusted Dollars),Occupied Housing Units,Occupied Housing Units: 1 Room,Occupied Housing Units: 2 Rooms,Occupied Housing Units: 3 Rooms,Occupied Housing Units: 4 Rooms,Occupied Housing Units: 5 Rooms,Occupied Housing Units: 6 Rooms,Occupied Housing Units: 7 Rooms,Occupied Housing Units: 8 Rooms,Occupied Housing Units: 9 or More Rooms,Median Year Structure Built,Median Gross Rent,Owner-Occupied Housing Units
1.70E+11,15000US170310101001,Block Group 1,"Block Group 1, Census Tract 101, Cook County, Illinois",il,150,0,ACSSF,9336,17,31,10100,1,461,0.02411671,0.02411671,0,461,0,0,36,0,36,24,50,94,122,64,19,16,461,265,108,0,0,0,16,72,1.95,,236,34,0,20,35,50,15,35,0,47,0,873,117
1.70E+11,15000US170310101002,Block Group 2,"Block Group 2, Census Tract 101, Cook County, Illinois",il,150,0,ACSSF,9337,17,31,10100,2,2424,0.07121655,0.07121655,0,2424,372,185,185,18,211,464,470,184,282,43,0,10,2424,746,1543,0,15,0,115,5,2.26,21827,1054,110,12,238,310,227,77,23,0,57,0,799,53
1.70E+11,15000US170310101003,Block Group 3,"Block Group 3, Census Tract 101, Cook County, Illinois",il,150,0,ACSSF,9338,17,31,10100,3,1714,0.05179522,0.05179522,0,1714,0,52,65,0,197,337,268,318,351,106,0,20,1714,1137,427,0,31,0,41,78,1.5,54297,1073,131,68,216,338,161,97,7,14,41,0,1071,327
1.70E+11,15000US170310102011,Block Group 1,"Block Group 1, Census Tract 102.01, Cook County, Illinois",il,150,0,ACSSF,9339,17,31,10201,1,1706,0.03703994,0.03703994,0,1706,108,105,108,52,134,394,273,242,168,92,30,0,1706,479,745,15,87,0,164,216,2.3,42778,712,85,10,89,206,189,90,0,10,33,1962,1097,224
1.70E+11,15000US170310102012,Block Group 2,"Block Group 2, Census Tract 102.01, Cook County, Illinois",il,150,0,ACSSF,9340,17,31,10201,2,3925,0.1001248,0.1001248,0,3925,256,283,332,90,214,677,831,663,378,55,86,60,3925,2131,1180,0,164,0,202,248,2.69,39535,1424,86,0,221,412,442,125,119,0,19,1945,1152,353
1.70E+11,15000US170310102013,Block Group 3,"Block Group 3, Census Tract 102.01, Cook County, Illinois",il,150,0,ACSSF,9341,17,31,10201,3,1824,0.05761224,0.05761224,0,1824,152,200,100,126,157,254,273,237,139,109,77,0,1824,849,595,0,50,0,195,135,2.99,52948,611,44,77,70,181,82,79,63,15,0,1958,1023,114
1.70E+11,15000US170310102021,Block Group 1,"Block Group 1, Census Tract 102.02, Cook County, Illinois",il,150,0,ACSSF,9342,17,31,10202,1,1305,0.07103469,0.07103469,0,1305,95,40,48,33,72,148,109,101,342,219,50,48,1305,692,384,0,39,0,170,20,2.03,25962,516,86,18,126,154,77,17,30,0,8,1940,956,142
1.70E+11,15000US170310102022,Block Group 2,"Block Group 2, Census Tract 102.02, Cook County, Illinois",il,150,0,ACSSF,9343,17,31,10202,2,1591,0.06476362,0.06476362,0,1591,187,52,114,18,234,403,195,180,146,48,14,0,1591,659,598,35,116,0,163,20,2.47,47024,620,65,34,183,163,34,60,70,5,6,1946,1032,117
1.70E+11,15000US170310103001,Block Group 1,"Block Group 1, Census Tract 103, Cook County, Illinois",il,150,0,ACSSF,9344,17,31,10300,1,936,0.03355189,0.03355189,0,936,36,26,0,0,18,119,84,177,157,183,76,60,936,703,191,0,33,0,9,0,1.55,42500,490,65,16,52,133,64,42,39,69,10,0,1235,252
1.70E+11,15000US170310103002,Block Group 2,"Block Group 2, Census Tract 103, Cook County, Illinois",il,150,0,ACSSF,9345,17,31,10300,2,2519,0.05733965,0.05733965,0,2519,298,129,0,20,111,502,371,310,355,230,84,109,2519,1099,1254,0,0,0,94,72,2.02,51133,997,116,111,148,296,147,136,16,12,15,0,953,321
